model,cv_mae,cv_rmse,cv_r2,test_mae,test_rmse,test_r2
mlp_sklearn,3.973646003305559,4.817905449021905,0.6915449447221745,3.897111949846529,4.8456775963771515,0.49523719746722095
xgboost,3.9892230214171147,4.91593608554357,0.6788648808533171,3.2703786176793717,3.9202996937367844,0.6696176411101273
random_forest,4.000799784492042,4.843247483293792,0.6882914824301443,3.1403695528463937,3.808262039269534,0.6882316964540471
hist_gradient_boosting,4.11941833796292,5.0041610687361,0.6672347967164632,3.316542949578103,3.937412168893839,0.666727046140939
lasso,4.583019495170567,12.356279979750974,-1.0288541495199097,3.264349291398543,4.0322287613124885,0.6504827308406795
elasticnet,4.583401359984182,12.339316498593808,-1.0232872953098822,3.265822372415774,4.031684207541632,0.6505771293016989
ridge,4.626697742024814,12.884384682553346,-1.2059857997503949,3.266474375210753,4.029783740355931,0.6509064756248034
linear_regression,6.547463125947624,37.4513971029435,-17.6385186971784,3.206192420151211,3.7587805877789022,0.6962807890517078
