model,cv_mae,cv_rmse,cv_r2,test_mae,test_rmse,test_r2
xgboost,3.9658279058352037,4.908885638767145,0.6797853657434707,3.351267915613511,3.966960977370942,0.6617060981874736
random_forest,3.9911483559316587,4.824608805645213,0.6906860143474862,3.179559701001614,3.864928284512121,0.6788845570535514
hist_gradient_boosting,4.134378296273746,5.015784095061901,0.6656871924688424,3.3071022320574386,3.9813021918373823,0.6592557010232905
mlp_sklearn,4.328189870900956,5.403031708107565,0.6120726682475637,3.2273248858907766,3.9472289061662815,0.6650631454252354
lasso,4.360199453039112,10.103821690067472,-0.35658400879995766,3.426023554421335,4.169792499384231,0.6262276251362058
elasticnet,4.397424097123142,10.558681738982244,-0.4814764283113544,3.4216618165505905,4.164315985570353,0.6272087892358904
ridge,4.441254832865847,11.106115950950347,-0.6390784992189908,3.4275897908421444,4.167045286999104,0.6267199728202947
linear_regression,6.067707954788321,31.329429442061425,-12.043084814105299,3.3769090335870384,3.947475919747674,0.6650212240962934
